Camp,Block,Total Families,Total Individuals
Camp 10,C10_A,1250,5948
Camp 10,C10_B,1088,5227
Camp 10,C10_C,1075,4942
Camp 10,C10_D,844,4004
Camp 10,C10_E,1109,5143
Camp 10,C10_F,982,4582
Camp 10,No Block,21,63
Camp 10 Total,,6369,29909
Camp 11,C11_A,1136,5638
Camp 11,C11_B,963,4557
Camp 11,C11_C,1280,6031
Camp 11,C11_D,1039,4993
Camp 11,C11_E,840,4091
Camp 11,C11_F,880,4307
Camp 11,No Block,5,17
Camp 11 Total,,6143,29634
Camp 12,C12_A,2415,11966
Camp 12,C12_B,644,3082
Camp 12,C12_C,1128,5439
Camp 12,C12_D,924,4328
Camp 12,No Block,207,860
Camp 12 Total,,5318,25675
Camp 13,C13_A,1943,9233
Camp 13,C13_B,1266,6025
Camp 13,C13_C,1413,6247
Camp 13,C13_D,1145,5745
Camp 13,C13_E,889,4129
Camp 13,C13_F,1125,5460
Camp 13,C13_G,1033,4684
Camp 13,No Block,13,48
Camp 13 Total,,8827,41571
Camp 14,C14_A,1075,5288
Camp 14,C14_B,1291,6334
Camp 14,C14_C,781,3760
Camp 14,C14_D,1296,6254
Camp 14,C14_E,1129,5416
Camp 14,C14_F,45,239
Camp 14,C14_G,34,183
Camp 14,C14_H,59,263
Camp 14,C14_I,34,163
Camp 14,C14_J,37,162
Camp 14,C14_K,113,519
Camp 14,C14_L,70,337
Camp 14,C14_M,62,290
Camp 14,C14_N,56,295
Camp 14,C14_O,118,587
Camp 14,C14_P,56,290
Camp 14,C14_Q,120,596
Camp 14,C14_R,201,946
Camp 14,No Block,5,14
Camp 14 Total,,6582,31936
Camp 15,C15_A,941,4441
Camp 15,C15_B,1367,6429
Camp 15,C15_C,1030,4832
Camp 15,C15_D,1515,7081
Camp 15,C15_E,1229,5885
Camp 15,C15_F,1459,6891
Camp 15,C15_G,1357,6554
Camp 15,C15_H,1567,7432
Camp 15,No Block,2,3
Camp 15 Total,,10467,49548
Camp 16,C16_A,1450,6847
Camp 16,C16_B,711,3255
Camp 16,C16_C,870,4114
Camp 16,C16_D,755,3391
Camp 16,C16_G,334,1612
Camp 16,C16_H,355,1553
Camp 16,No Block,24,70
Camp 16 Total,,4499,20842
Camp 17,C17_A,1405,6203
Camp 17,C17_B,1251,5409
Camp 17,C17_C,1105,4641
Camp 17,C17_D,3,18
Camp 17,No Block,20,54
Camp 17 Total,,3784,16325
Camp 18,C18_A,1270,5642
Camp 18,C18_B,1207,5312
Camp 18,C18_C,1128,4978
Camp 18,C18_D,1223,5513
Camp 18,C18_E,1220,5504
Camp 18,No Block,12,23
Camp 18 Total,,6060,26972
Camp 19,C19_A,1288,5756
Camp 19,C19_B,1246,5764
Camp 19,C19_C,1255,6176
Camp 19,C19_D,1008,4764
Camp 19,No Block,8,34
Camp 19 Total,,4805,22494
Camp 1E,C01E_A,1135,5537
Camp 1E,C01E_B,1376,5902
Camp 1E,C01E_C,1200,5408
Camp 1E,C01E_D,1187,5377
Camp 1E,C01E_E,1197,5298
Camp 1E,C01E_F,1229,5402
Camp 1E,C01E_G,1000,4377
Camp 1E,C01E_H,109,442
Camp 1E,No Block,82,154
Camp 1E Total,,8515,37897
Camp 1W,C01W_A,1099,5156
Camp 1W,C01W_B,1288,5888
Camp 1W,C01W_C,1434,6298
Camp 1W,C01W_D,1092,4841
Camp 1W,C01W_E,945,4311
Camp 1W,C01W_F,1211,5324
Camp 1W,C01W_G,1292,6134
Camp 1W,No Block,25,60
Camp 1W Total,,8386,38012
Camp 20,C20_A,787,3454
Camp 20,C20_B,791,3351
Camp 20,C20_C,3,9
Camp 20,C20_D,2,11
Camp 20,No block,8,20
Camp 20 Total,,1591,6845
Camp 20 Extension,C20_Ext_A,11,28
Camp 20 Extension,C20_Ext_B,727,3173
Camp 20 Extension,C20_Ext_C,22,86
Camp 20 Extension,C20_Ext_D,2,3
Camp 20 Extension,C20_Ext_E,9,25
Camp 20 Extension,No Block,909,3852
Camp 20 Extension Total,,1680,7167
Camp 21,C21_A,1156,5179
Camp 21,C21_B,1188,5127
Camp 21,C21_C,557,2074
Camp 21,C21_D,217,922
Camp 21,C21_E,552,2309
Camp 21,C21_F,51,207
Camp 21,C21_G,46,188
Camp 21,No Block,43,298
Camp 21 Total,,3810,16304
Camp 22,C22_A,1120,5635
Camp 22,C22_B,1328,6603
Camp 22,C22_C,1007,4850
Camp 22,C22_D,816,4075
Camp 22,C22_E,5,13
Camp 22,C22_I,1,3
Camp 22,No Block,2,9
Camp 22 Total,,4279,21188
Camp 23,C23_A,778,3523
Camp 23,C23_B,884,3793
Camp 23,C23_C,276,1214
Camp 23,C23_D,424,1815
Camp 23,No Block,9,24
Camp 23 Total,,2371,10369
Camp 24,C24_A,1084,5053
Camp 24,C24_B,990,4239
Camp 24,C24_C,1000,4257
Camp 24,C24_D,607,2603
Camp 24,C24_E,686,3581
Camp 24,C24_F,741,3405
Camp 24,C24_G,488,2240
Camp 24,No block,204,608
Camp 24 Total,,5800,25986
Camp 25,C25_A,523,2537
Camp 25,C25_B,796,3903
Camp 25,C25_C,109,512
Camp 25,No block,59,367
Camp 25 Total,,1487,7319
Camp 26,C26_A,600,2550
Camp 26,C26_B,776,3090
Camp 26,C26_C,553,2294
Camp 26,C26_D,1557,6918
Camp 26,C26_E,1053,4574
Camp 26,C26_F,206,931
Camp 26,C26_G,87,389
Camp 26,C26_H,1112,4621
Camp 26,C26_I,1224,5325
Camp 26,C26_Nature,32,129
Camp 26,C26_P,104,373
Camp 26,C26_Shalbagan,188,750
Camp 26,No Block,1631,8709
Camp 26 Total,,9123,40653
Camp 27,British Para,151,702
Camp 27,C27_A,561,2629
Camp 27,C27_B,876,3907
Camp 27,C27_C,690,3150
Camp 27,C27_D,810,3693
Camp 27,Judimura West,16,68
Camp 27,No Block,130,680
Camp 27 Total,,3234,14829
Camp 2E,C02E_A,1253,5429
Camp 2E,C02E_B,973,4144
Camp 2E,C02E_C,1142,4750
Camp 2E,C02E_D,1279,5308
Camp 2E,C02E_E,1250,5367
Camp 2E,No Block,42,78
Camp 2E Total,,5939,25076
Camp 2W,C02W_A,1304,5582
Camp 2W,C02W_B,1386,6028
Camp 2W,C02W_C,1357,5864
Camp 2W,C02W_D,1368,6027
Camp 2W,No Block,20,40
Camp 2W Total,,5435,23541
Camp 3,C03_A,1148,5349
Camp 3,C03_B,1185,5252
Camp 3,C03_C,895,3920
Camp 3,C03_D,1305,5695
Camp 3,C03_E,1259,5624
Camp 3,C03_F,1205,5156
Camp 3,C03_G,1013,4466
Camp 3,No block,47,110
Camp 3 Total,,8057,35572
Camp 4,C04_A,1141,5066
Camp 4,C04_B,1115,4653
Camp 4,C04_C,1019,4261
Camp 4,C04_D,993,4139
Camp 4,C04_E,1166,5109
Camp 4,C04_F,857,3640
Camp 4,C04_G,681,2866
Camp 4,No Block,42,89
Camp 4 Total,,7014,29823
Camp 4 Extension,C04_Ext_A,126,473
Camp 4 Extension,C04X_B,325,1176
Camp 4 Extension,C04X_C,420,1930
Camp 4 Extension,C04X_D,70,308
Camp 4 Extension,C04X_F,34,152
Camp 4 Extension,C04X_H,40,211
Camp 4 Extension,C04X_I,51,238
Camp 4 Extension,C04X_No_Block,207,849
Camp 4 Extension,No Block,175,817
Camp 4 Extension Total,,1448,6154
Camp 5,C05_A,1210,5826
Camp 5,C05_B,1004,4550
Camp 5,C05_C,785,2877
Camp 5,C05_D,1050,4175
Camp 5,C05_E,952,4716
Camp 5,No Block,480,2269
Camp 5 Total,,5481,24413
Camp 6,C06_A,1140,5706
Camp 6,C06_B,1023,4781
Camp 6,C06_C,1316,6003
Camp 6,C06_D,1293,5741
Camp 6,No Block,64,491
Camp 6 Total,,4836,22722
Camp 7,C07_A,1154,4876
Camp 7,C07_B,1020,4130
Camp 7,C07_C,1104,4969
Camp 7,C07_D,1095,4957
Camp 7,C07_E,1189,5855
Camp 7,C07_F,1070,4661
Camp 7,C07_G,1077,5349
Camp 7,No Block,557,2304
Camp 7 Total,,8266,37101
Camp 8E,C08E_A,2026,9691
Camp 8E,C08E_B,2177,10328
Camp 8E,C08E_C,1642,7706
Camp 8E,C08E_D,81,339
Camp 8E,C08E_E,115,499
Camp 8E,C08E_F,143,662
Camp 8E,No Block,4,9
Camp 8E Total,,6188,29234
Camp 8W,C08W_A,1011,4781
Camp 8W,C08W_B,1106,5086
Camp 8W,C08W_C,1294,6247
Camp 8W,C08W_D,1046,4912
Camp 8W,C08W_E,1064,4878
Camp 8W,C08W_F,1067,4697
Camp 8W,No Block,15,46
Camp 8W Total,,6603,30647
Camp 9,C09_A,1050,4931
Camp 9,C09_B,1032,4623
Camp 9,C09_C,700,3641
Camp 9,C09_D,1014,4117
Camp 9,C09_E,800,3140
Camp 9,C09_F,1080,5018
Camp 9,C09_G,1399,7011
Camp 10,No Block,105,333
Camp 9 Total,,7180,32814
Kutupalong RC,KTP_A,375,2814
Kutupalong RC,KTP_B,343,1827
Kutupalong RC,KTP_C,590,3099
Kutupalong RC,KTP_D,342,1661
Kutupalong RC,KTP_E,428,2240
Kutupalong RC,KTP_F,451,2366
Kutupalong RC,KTP_G,338,1726
Kutupalong RC,No Block,270,976
Kutupalong RC Total,,3137,16709
Nayapara RC,Missing,673,1824
Nayapara RC,NYP_A,16,28
Nayapara RC,NYP_B,605,3086
Nayapara RC,NYP_C,661,3517
Nayapara RC,NYP_D,553,2900
Nayapara RC,NYP_E,611,3059
Nayapara RC,NYP_H,820,4926
Nayapara RC,NYP_I,430,2195
Nayapara RC,No Block,240,773
Nayapara RC,NYP_P,297,1572
Nayapara RC Total,,4906,23880
